;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
hsa-miR-382-5p;320,9438697;3,917406092;0,25302483;15,48229911;4,5685E-54;1,23349E-51
hsa-miR-409-3p;187,141416;4,916003403;0,348336904;14,11278378;3,1682E-45;4,27707E-43
hsa-miR-134-5p;71,20543301;4,592966142;0,455891975;10,07468083;7,14925E-24;6,43433E-22
hsa-miR-432-5p;47,93373574;5,149734651;0,558816541;9,21542988;3,10033E-20;2,09273E-18
hsa-miR-376c-3p;74,47701448;3,503823294;0,391735038;8,94437045;3,74076E-19;2,02001E-17
hsa-miR-379-5p;25,77600066;4,699727354;0,696876674;6,743987182;1,54098E-11;6,93442E-10
hsa-miR-485-3p;23,10623786;3,959275665;0,656672782;6,029297654;1,64674E-09;6,3517E-08
hsa-miR-337-3p;31,95436967;4,00772685;0,683147971;5,866557495;4,44936E-09;1,50166E-07
hsa-miR-376a-3p;13,38393693;5,398041352;1,074500524;5,023768003;5,06674E-07;1,36802E-05
hsa-miR-539-5p;16,70866496;3,658290483;0,768343863;4,761267267;1,92381E-06;4,72208E-05
hsa-miR-323a-3p;10,23588914;4,879462674;1,155533768;4,222691546;2,41402E-05;0,000501374
hsa-miR-494-3p;15,28654872;3,439872907;0,842600186;4,082449737;4,45635E-05;0,000752008
hsa-miR-323b-3p;11,87053063;3,445260421;0,898488627;3,834506433;0,000125817;0,001787921
hsa-miR-92b-3p;16,13207166;3,017249007;0,807194623;3,737944878;0,000185531;0,002504663
hsa-miR-369-5p;9,64854829;3,77083807;1,037135403;3,635820415;0,000277097;0,00356268
hsa-miR-370-3p;5,910973498;5,103911284;1,433053181;3,561564464;0,000368652;0,00452436
hsa-miR-381-3p;8,159559303;3,690252123;1,045693731;3,528998993;0,000417135;0,004896799
hsa-miR-411-3p;11,1092109;3,050707189;0,888648072;3,432975647;0,000596996;0,006716202
hsa-miR-127-3p;8,394402442;3,524706695;1,038612693;3,393668034;0,000689632;0,006896324
hsa-miR-654-3p;14,69094622;3,061046719;0,896969358;3,412654728;0,000643334;0,006896324
hsa-miR-1185-1-3p;6,295158642;4,471381422;1,343205564;3,3288884;0,000871933;0,008118
hsa-miR-337-5p;7,583140691;4,47542937;1,352560732;3,3088565;0,000936778;0,008431005
